"","NTrials","Ne","Ngens","p","propfix","gens","time"
"1",1000,10,1e+06,0.1,0.114,35.0877192982456,46.6538181304932
"2",1000,20,1e+06,0.1,0.092,65.5108695652174,181.391705036163
"3",1000,30,1e+06,0.1,0.068,115.176470588235,309.841989040375
"4",1000,40,1e+06,0.1,0.109,157.633027522936,865.676322937012
"5",1000,50,1e+06,0.1,0.068,160.367647058824,1028.72582197189
"6",1000,60,1e+06,0.1,0.103,237.563106796117,1870.40280890465
"7",1000,70,1e+06,0.1,0.09,254.6,2134.81318688393
"8",1000,80,1e+06,0.1,0.093,311.150537634409,3071.10569691658
"9",1000,90,1e+06,0.1,0.111,335.774774774775,4060.98972392082
"10",1000,100,1e+06,0.1,0.093,354.645161290323,4714.13614392281
